"SEO 2008 Code","SEO 2008 Name"
"860205","Whey"
"860299","Dairy Products not elsewhere classified"
"860301","Essential Oils (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)"
"860302","Organic Fertilisers"
"860303","Plant Extracts (e.g. Pyrethrum, Alkaloids, Jojoba Oil)"
"860304","Prepared Animal Feed"
"860399","Processed Non-Food Agricultural Products (excl. Wood, Paper and Fibre) not elsewhere classified"
"860401","Clothing"
"860402","Cotton Ginning"
"860403","Natural Fibres, Yarns and Fabrics"
"860404","Non-Fabric Textiles (e.g. Felt)"
"860405","Processed Skins, Leather and Leather Products"
"860406","Synthetic Fibres, Yarns and Fabrics"
"860407","Wool Scouring and Top Making"
"860499","Leather Products, Fibre Processing and Textiles not elsewhere classified"
"860501","Paper Products (incl. Coated Paper)"
"860502","Printing and Publishing Processes"
"860503","Pulp and Paper"
"860504","Reconstituted Timber Products (e.g. Chipboard, Particleboard)"
"860505","Wood Sawing and Veneer"
"860599","Wood, Wood Products and Paper not elsewhere classified"
"860601","Industrial Gases"
"860602","Inorganic Industrial Chemicals"
"860603","Lubricants"
"860604","Organic Industrial Chemicals (excl. Resins, Rubber and Plastics)"
"860605","Paints"
"860606","Plastics in Primary Forms"
"860607","Plastic Products (incl. Construction Materials)"
"860609","Soaps and Cosmetics"
"860608","Rubber and Synthetic Resins"
"860699","Industrial Chemicals and Related Products not elsewhere classified"
"860701","Animal Protection Chemicals"
"860702","Chemical Fertilisers"
"860703","Crop Protection Chemicals"
"860799","Agricultural Chemicals not elsewhere classified"
"860801","Human Biological Preventatives (e.g. Vaccines)"
"860802","Human Diagnostics"
"860803","Human Pharmaceutical Treatments (e.g. Antibiotics)"
"860899","Human Pharmaceutical Products not elsewhere classified"
"860901","Veterinary Biological Preventatives (e.g. Vaccines)"
"860902","Veterinary Diagnostics"
"860903","Veterinary Pharmaceutical Treatments (e.g. Antibiotics)"
"860999","Veterinary Pharmaceutical Products not elsewhere classified"
"861001","Cement Products and Concrete Materials"
"861002","Ceramics"
"861003","Clay Products"
"861004","Plaster and Plaster Products"
"861005","Structural Glass and Glass Products"
"861099","Ceramics, Glass and Industrial Mineral Products not elsewhere classified"
"861101","Basic Aluminium Products"
"861102","Basic Copper Products"
"861103","Basic Iron and Steel Products"
"861104","Basic Precious Metal Products"
"861105","Basic Zinc Products"
"861199","Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding) not elsewhere classified"
"861201","Coated Metal and Metal-Coated Products"
"861202","Machined Metal Products"
"861203","Metal Castings"
"861204","Semi-Finished Metal Products"
"861205","Sheet Metal Products"
"861206","Structural Metal Products"
"861299","Fabricated Metal Products not elsewhere classified"
"861301","Aerospace Equipment"
"861302","Automotive Equipment"
"861303","Nautical Equipment (excl. Yachts)"
"861304","Rail Equipment"
"861305","Yachts"
"861399","Transport Equipment not elsewhere classified"
"861401","Agricultural Machinery and Equipment"
"861402","Appliances and Electrical Machinery and Equipment"
"861403","Industrial Machinery and Equipment"
"861404","Mining Machinery and Equipment"
"861499","Machinery and Equipment not elsewhere classified"
"861501","Industrial Instruments"
"861502","Medical Instruments"
"861503","Scientific Instruments"
"861599","Instrumentation not elsewhere classified"
"861601","Computer and Electronic Office Equipment"
"861602","Consumer Electronic Equipment (excl. Communication Equipment)"
"861603","Integrated Circuits and Devices"
"861604","Integrated Systems"
"861605","Processor Modules"
"861606","Satellite Navigation Equipment"
"861699","Computer Hardware and Electronic Equipment not elsewhere classified"
"861701","Network Infrastructure Equipment"
"861702","Telemetry Equipment"
"861703","Voice and Data Equipment"
"861799","Communication Equipment not elsewhere classified"
"869801","Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases)"
"869802","Management of Greenhouse Gas Emissions from Manufacturing Activities"
"869803","Management of Liquid Waste from Manufacturing Activities (excl. Water)"
"869804","Management of Solid Waste from Manufacturing Activities"
"869805","Management of Water Consumption by Manufacturing Activities"
"869899","Environmentally Sustainable Manufacturing not elsewhere classified"
"869901","Furniture"
"869999","Manufacturing not elsewhere classified"
"870101","Civil Construction Planning"
"870102","Commercial Construction Planning"
"870103","Regional Planning"
"870104","Residential Construction Planning"
"870105","Urban Planning"
"870199","Construction Planning not elsewhere classified"
"870201","Civil Construction Design"
"870202","Commercial Construction Design"
"870203","Industrial Construction Design"
"870204","Residential Construction Design"
"870299","Construction Design not elsewhere classified"
"870301","Cement and Concrete Materials"
"870302","Metals (e.g. Composites, Coatings, Bonding)"
"870303","Polymeric Materials (e.g. Paints)"
"870304","Stone, Ceramics and Clay Materials"
"870305","Timber Materials"
"870399","Construction Materials Performance and Processes not elsewhere classified"
"870401","Civil Construction Processes"
"870402","Commercial Construction Processes"
"870403","Industrial Construction Processes"
"870404","Residential Construction Processes"
"870499","Construction Processes not elsewhere classified"
"870501","Civil Building Management and Services"
"870502","Commercial Building Management and Services"
"870503","Residential Building Management and Services"
"870599","Building Management and Services not elsewhere classified"
"879801","Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases)"
"879802","Management of Greenhouse Gas Emissions from Construction Activities"
"879803","Management of Liquid Waste from Construction Activities (excl. Water)"
"879804","Management of Solid Waste from Construction Activities"
"879805","Management of Water Consumption by Construction Activities"
"879899","Environmentally Sustainable Construction not elsewhere classified"
"879999","Construction not elsewhere classified"
"880101","Rail Freight"
"880102","Rail Infrastructure and Networks"
"880103","Rail Passenger Movements"
"880104","Rail Safety"
"880105","Road Freight"
"880106","Road Infrastructure and Networks"
"880107","Road Passenger Movements (excl. Public Transport)"
"880108","Road Public Transport"
"880109","Road Safety"
"880199","Ground Transport not elsewhere classified"
"880201","Coastal Sea Freight Transport"
"880202","International Sea Freight Transport (excl. Live Animal Transport)"
"880203","International Sea Transport of Live Animals"
"880204","Passenger Water Transport"
"880205","Port Infrastructure and Management"
"880206","Water Safety"
"880299","Water Transport not elsewhere classified"
"880301","Air Freight"
"880302","Air Passenger Transport"
"880303","Air Safety"
"880304","Air Terminal Infrastructure and Management"
"880305","Space Transport"
"880399","Aerospace Transport not elsewhere classified"
"889801","Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases)"
"889802","Management of Greenhouse Gas Emissions from Transport Activities"
"889803","Management of Liquid Waste from Transport Activities (excl. Water)"
"889804","Management of Noise and Vibration from Transport Activities"
"889805","Management of Solid Waste from Transport Activities"
"889806","Management of Water Consumption by Transport Activities"
"889899","Environmentally Sustainable Transport not elsewhere classified"
"889901","Intermodal Materials Handling"
"889902","Multimodal Transport"
"889903","Pipeline Transport"
"889904","Postal and Package Services (incl. Courier Services)"
"889999","Transport not elsewhere classified"
"890101","Fixed Line Data Networks and Services"
"890102","Fixed Line Telephone Networks and Services"
"890103","Mobile Data Networks and Services"
"890104","Mobile Telephone Networks and Services"
"890105","Satellite Communication Networks and Services"
"890106","Videoconference Services"
"890199","Communication Networks and Services not elsewhere classified"
"890201","Application Software Packages (excl. Computer Games)"
"890202","Application Tools and System Utilities"
"890203","Computer Gaming Software"
"890204","Computer Time Leasing, Sharing and Renting Services"
"890205","Information Processing Services (incl. Data Entry and Capture)"
"890206","Internet Hosting Services (incl. Application Hosting Services)"
"890299","Computer Software and Services not elsewhere classified"
"890301","Electronic Information Storage and Retrieval Services"
"890302","Library and Archival Services"
"890303","News Collection Services"
"890399","Information Services not elsewhere classified"
"890401","Animation and Computer Generated Imagery Services"
