Date: 01-10-09

Time: 13:10:54



Exp. Conditions:

Cyclic voltammetry

Start potential (V) = .0000

First vertex potential (V) = 1.5000

Second vertex potential (V) = -.2979

Step potential (V) = .00244

Scan rate (V/s) = .15001

Equilibration time (s) = 1

Number of Data Points =  1474 



 Potential	  Scan 1   	  Scan 2   	  Scan 3   	  Scan 4   	  Scan 5   	  Scan 6   	  Scan 7   	  Scan 8   	  Scan 9   	  Scan 10   	  Scan 11   	  Scan 12   	  Scan 13   	  Scan 14   	  Scan 15   	  Scan 16   	  Scan 17   	  Scan 18   	  Scan 19   	  Scan 20   	

 0.073242	-2.724304E-06	-2.143250E-06	-1.938477E-06	-1.758118E-06	-1.677856E-06	-1.598206E-06	-1.554260E-06	-1.422424E-06	-1.310425E-06	-1.271973E-06	-1.242981E-06	-1.191101E-06	-1.188660E-06	-1.144714E-06	-1.142883E-06	-1.094055E-06	-1.070251E-06	-1.049805E-06	-1.034546E-06	-1.015320E-06

 0.075684	-2.702637E-06	-2.129822E-06	-1.924133E-06	-1.741943E-06	-1.665039E-06	-1.580505E-06	-1.541748E-06	-1.408691E-06	-1.301270E-06	-1.265869E-06	-1.235046E-06	-1.181030E-06	-1.177063E-06	-1.137695E-06	-1.134949E-06	-1.083984E-06	-1.062317E-06	-1.040649E-06	-1.026611E-06	-1.012573E-06

 0.078125	-2.678833E-06	-2.114258E-06	-1.907654E-06	-1.730652E-06	-1.655884E-06	-1.574097E-06	-1.533203E-06	-1.398315E-06	-1.287537E-06	-1.256409E-06	-1.219788E-06	-1.177063E-06	-1.166687E-06	-1.129761E-06	-1.119995E-06	-1.073914E-06	-1.056213E-06	-1.028442E-06	-1.015320E-06	-9.982300E-07

 0.080566	-2.661438E-06	-2.099609E-06	-1.893311E-06	-1.722412E-06	-1.647339E-06	-1.564026E-06	-1.521301E-06	-1.388550E-06	-1.275940E-06	-1.242676E-06	-1.211243E-06	-1.167297E-06	-1.153870E-06	-1.124573E-06	-1.115112E-06	-1.066895E-06	-1.046143E-06	-1.023865E-06	-1.001587E-06	-9.881592E-07

 0.083008	-2.643433E-06	-2.086792E-06	-1.882935E-06	-1.712646E-06	-1.635132E-06	-1.552734E-06	-1.512146E-06	-1.383057E-06	-1.264648E-06	-1.230469E-06	-1.199036E-06	-1.155701E-06	-1.146545E-06	-1.108398E-06	-1.109009E-06	-1.061707E-06	-1.036682E-06	-1.017151E-06	-9.954834E-07	-9.774780E-07

